Model,MSO4034B
Firmware Version,2.96
,
Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0.0001472
Sample Interval,2.00E-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,1.94
,
,
,
Label,
TIME,CH1
-8.53E-04,0.37
-8.53E-04,0.37
-8.52E-04,0.37
-8.52E-04,0.37
-8.52E-04,0.35
-8.52E-04,0.37
-8.52E-04,0.37
-8.51E-04,0.39
-8.51E-04,0.37
-8.51E-04,0.35
-8.51E-04,0.39
-8.51E-04,0.39
-8.50E-04,0.37
-8.50E-04,0.37
-8.50E-04,0.37
-8.50E-04,0.37
-8.50E-04,0.37
-8.49E-04,0.39
-8.49E-04,0.37
-8.49E-04,0.37
-8.49E-04,0.37
-8.49E-04,0.37
-8.48E-04,0.37
-8.48E-04,0.37
-8.48E-04,0.37
-8.48E-04,0.37
-8.48E-04,0.37
-8.47E-04,0.37
-8.47E-04,0.35
-8.47E-04,0.37
-8.47E-04,0.39
-8.47E-04,0.35
-8.46E-04,0.37
-8.46E-04,0.37
-8.46E-04,0.37
-8.46E-04,0.37
-8.46E-04,0.39
-8.45E-04,0.37
-8.45E-04,0.37
-8.45E-04,0.37
-8.45E-04,0.37
-8.45E-04,0.37
-8.44E-04,0.37
-8.44E-04,0.45
-8.44E-04,0.39
-8.44E-04,0.37
-8.44E-04,0.37
-8.43E-04,0.37
-8.43E-04,0.37
-8.43E-04,0.37
-8.43E-04,0.37
-8.43E-04,0.39
-8.42E-04,0.37
-8.42E-04,0.37
-8.42E-04,0.39
-8.42E-04,0.37
-8.42E-04,0.37
-8.41E-04,0.39
-8.41E-04,0.35
-8.41E-04,0.37
-8.41E-04,0.37
-8.41E-04,0.37
-8.40E-04,0.35
-8.40E-04,0.37
-8.40E-04,0.37
-8.40E-04,0.37
-8.40E-04,0.37
-8.39E-04,0.35
-8.39E-04,0.37
-8.39E-04,0.35
-8.39E-04,0.37
-8.39E-04,0.35
-8.38E-04,0.37
-8.38E-04,0.35
-8.38E-04,0.39
-8.38E-04,0.39
-8.38E-04,0.37
-8.37E-04,0.37
-8.37E-04,0.37
-8.37E-04,0.37
-8.37E-04,0.37
-8.37E-04,0.37
-8.36E-04,0.39
-8.36E-04,0.37
-8.36E-04,0.39
-8.36E-04,0.37
-8.36E-04,0.37
-8.35E-04,0.39
-8.35E-04,0.35
-8.35E-04,0.37
-8.35E-04,0.37
-8.35E-04,0.37
-8.34E-04,0.37
-8.34E-04,0.29
-8.34E-04,0.37
-8.34E-04,0.37
-8.34E-04,0.35
-8.33E-04,0.41
-8.33E-04,0.35
-8.33E-04,0.35
-8.33E-04,0.37
-8.33E-04,0.37
-8.32E-04,0.37
-8.32E-04,0.37
-8.32E-04,0.37
-8.32E-04,0.39
-8.32E-04,0.37
-8.31E-04,0.35
-8.31E-04,0.37
-8.31E-04,0.37
-8.31E-04,0.37
-8.31E-04,0.35
-8.30E-04,0.37
-8.30E-04,0.37
-8.30E-04,0.37
-8.30E-04,0.35
-8.30E-04,0.39
-8.29E-04,0.37
-8.29E-04,0.37
-8.29E-04,0.37
-8.29E-04,0.37
-8.29E-04,0.39
-8.28E-04,0.37
-8.28E-04,0.37
-8.28E-04,0.35
-8.28E-04,0.37
-8.28E-04,0.37
-8.27E-04,0.35
-8.27E-04,0.37
-8.27E-04,0.35
-8.27E-04,0.37
-8.27E-04,0.37
-8.26E-04,0.37
-8.26E-04,0.35
-8.26E-04,0.35
-8.26E-04,0.39
-8.26E-04,0.37
-8.25E-04,0.37
-8.25E-04,0.37
-8.25E-04,0.37
-8.25E-04,0.37
-8.25E-04,0.37
-8.24E-04,0.37
-8.24E-04,0.39
-8.24E-04,0.35
-8.24E-04,0.37
-8.24E-04,0.37
-8.23E-04,0.37
-8.23E-04,0.37
-8.23E-04,0.35
-8.23E-04,0.39
-8.23E-04,0.37
-8.22E-04,0.39
-8.22E-04,0.37
-8.22E-04,0.39
-8.22E-04,0.39
-8.22E-04,0.39
-8.21E-04,0.37
-8.21E-04,0.39
-8.21E-04,0.37
-8.21E-04,0.37
-8.21E-04,0.39
-8.20E-04,0.35
-8.20E-04,0.37
-8.20E-04,0.37
-8.20E-04,0.35
-8.20E-04,0.37
-8.19E-04,0.35
-8.19E-04,0.39
-8.19E-04,0.35
-8.19E-04,0.37
-8.19E-04,0.37
-8.18E-04,0.37
-8.18E-04,0.35
-8.18E-04,0.35
